Disease|Description
ependymoma|Ependymoma is a rare tumor that arises from ependymal cells lining the brain's ventricles or the spinal cord. It can occur at any age but is more common in children. Symptoms depend on tumor location and may include headaches, nausea, balance issues, and spinal symptoms. Treatment typically involves surgery, possibly followed by radiation.
hepatitis due to a toxin|Toxic hepatitis occurs when the liver becomes inflamed due to exposure to harmful substances like drugs, alcohol, or industrial chemicals. Symptoms include jaundice, fatigue, nausea, and abdominal pain. The condition can be acute or chronic and, in severe cases, lead to liver failure. Treatment focuses on stopping exposure to the toxin and supporting liver function.
vaginal cyst|Vaginal cysts are fluid-filled sacs that form in or around the vaginal wall. They are often small and painless but may become tender or infected. Common types include Bartholin’s cysts and Gartner duct cysts. Most require no treatment unless symptomatic, in which case drainage or surgical removal may be needed.
open wound of the shoulder|An open wound on the shoulder refers to any break in the skin in the shoulder area caused by trauma (cuts, punctures, abrasions). It carries a risk of infection, especially if deep or contaminated. Initial management includes cleaning, dressing, and possibly stitches or antibiotics. Severe wounds may require surgical care.
ectopic pregnancy|An ectopic pregnancy occurs when a fertilized egg implants outside the uterus, usually in a fallopian tube. It cannot proceed normally and can cause life-threatening bleeding if untreated. Symptoms include sharp pelvic pain, vaginal bleeding, and dizziness. Immediate medical intervention is necessary, often involving medication or surgery.
chronic knee pain|Chronic knee pain persists over time and may result from injury, arthritis, overuse, or structural problems. Common causes include osteoarthritis, ligament damage, or meniscus tears. Symptoms include swelling, stiffness, instability, and reduced range of motion. Management includes physical therapy, medications, and sometimes surgery.
pinguecula|A pinguecula is a non-cancerous, yellowish bump on the white part of the eye near the cornea, often caused by sun exposure, wind, or dust. It is usually harmless but can cause irritation or dryness. Lubricating eye drops help, and surgery is rare but may be needed for cosmetic or comfort reasons.
hypergammaglobulinemia|Hypergammaglobulinemia refers to elevated levels of immunoglobulins (antibodies) in the blood, often due to chronic infections, autoimmune disorders, or certain cancers. It may be asymptomatic or associated with fatigue, recurrent infections, or inflammation. Diagnosis is via blood tests, and treatment depends on the underlying cause.
alcohol abuse|Alcohol abuse involves consuming alcohol in a harmful or compulsive way, leading to health, social, or legal problems. It can result in liver disease, brain damage, addiction, and mental health issues. Treatment includes counseling, medications, rehabilitation, and support groups like Alcoholics Anonymous (AA).
carpal tunnel syndrome|Carpal tunnel syndrome is caused by pressure on the median nerve in the wrist, leading to numbness, tingling, and weakness in the hand and fingers. Repetitive wrist movements, pregnancy, or conditions like diabetes increase risk. Treatment includes wrist splints, corticosteroid injections, and sometimes surgery.
pituitary disorder|Pituitary disorders affect the pituitary gland, which regulates key hormones. Tumors (like adenomas), injury, or inflammation can disrupt hormone production, leading to growth problems, fatigue, infertility, or vision changes. Diagnosis involves hormone tests and imaging. Treatment may include medication, surgery, or hormone therapy.
kidney stone|A kidney stone is a hard deposit of minerals and salts that forms in the kidneys. Symptoms include sharp back or side pain, blood in urine, and nausea. Small stones may pass on their own, but larger ones might require medication, shock wave therapy, or surgery.
autism|Autism is a neurodevelopmental condition characterized by challenges with communication, social interaction, and repetitive behaviors. The severity varies widely. Early diagnosis and interventions such as behavioral therapy, speech therapy, and educational support can improve outcomes.
cat scratch disease|Cat scratch disease is a bacterial infection (from Bartonella henselae) usually transmitted through a scratch or bite from an infected cat. It causes swollen lymph nodes, fever, and fatigue. Most cases are mild and resolve on their own, but antibiotics may be needed in severe cases.
chronic glaucoma|Chronic (open-angle) glaucoma is a progressive eye disease where increased intraocular pressure damages the optic nerve, often without early symptoms. It can lead to gradual vision loss and eventual blindness if untreated. Management includes medicated eye drops, laser therapy, or surgery to lower eye pressure.
retinal detachment|Retinal detachment occurs when the retina pulls away from the tissue supporting it, cutting off blood and oxygen. This is a medical emergency and can cause permanent vision loss. Symptoms include flashes of light, floaters, or a shadow over vision. Treatment typically involves surgery.
aplastic anemia|Aplastic anemia is a rare but serious condition where the bone marrow fails to produce enough blood cells. It may result from autoimmune diseases, toxins, infections, or genetics. Symptoms include fatigue, infections, and easy bruising. Treatment options include medications, blood transfusions, or bone marrow transplant.
